title,split_title
财政部　国家税务总局关于提高部分机电产品出口退税率的通知,财政部 　 国家税务总局 提高 机电产品 出口 退税率 通知
国家税务总局关于外籍个人储蓄存款利息所得个人所得税有关问题的通知,国家税务总局 外籍 个人 储蓄存款 利息 所得 个人所得税 通知
国家税务总局关于核定安徽中烟工业公司黄山（新概念）等2个新牌号新规格卷烟,国家税务总局 核定 安徽 中烟 工业 公司 黄山 新 概念 新 牌号 新 规格 卷烟
国家税务总局关于停止执行中国远洋运输（集团）总公司增值税优惠政策的通知,国家税务总局 停止 执行 中国 远洋运输 集团 总公司 增值税 优惠政策 通知
印花税是否可以在计算土地增值税时扣除？,印花税 计算 土地 增值税 时 扣除
财政部 国家税务总局关于非货币性资产投资企业所得税政策问题的通知,财政部   国家税务总局 非 货币 性 资产 投资 企业 所得税 政策 通知
国家税务总局关于企业重组业务企业所得税征收管理若干问题的公告,国家税务总局 企业 重组 业务 企业 所得税 征收 管理 若干 公告
财政部 国家税务总局关于企业重组业务企业所得税处理若干问题的通知,财政部   国家税务总局 企业 重组 业务 企业 所得税 若干 通知
存款账户账号报告,存款 账户 账号 报告
跨境应税服务增值税免税备案,跨境 应税 服务 增值税 免税 备案
纳税人超过小规模纳税人标准后，选择按小规模纳税人纳税的如何处理？,纳税人 超过 小规模 纳税人 标准 选择 小规模 纳税人 纳税
国家税务总局关于油气田所属单位为本油气田提供劳务征收营业税问题的通知,国家税务总局 油气田 所属单位 为本 油气田 提供 劳务 征收 营业税 通知
国家税务总局关于调整饲料生产企业饲料免征增值税审批程序的通知,国家税务总局 调整 饲料 生产 企业 饲料 免征 增值税 审批 程序 通知
国家税务总局关于蚌埠市公路机械化工程处纳税问题的批复,国家税务总局 蚌埠市 公路 机械化 工程处 纳税 批复
从事个体经营的随军家属在个人所得税方面有什么税收优惠政策？,个体经营 随军 家属 个人所得税 税收 优惠政策
北京市财政局 北京市地方税务局 中国证券监督管理委员会北京监管局转发财政,北京市 财政局   北京市 地方税务局   中国证券监督管理委员会 北京 监管局 转发 财政
北京市财政局 北京海关 北京市国家税务局关于转发财政部海关总署国家税务总,北京市 财政局   北京海关   北京市 国家税务局 转发 财政部 海关总署 国家税务 总
与专有技术有关的特许权使用费是如何规定的？,专有 技术 特许权 使用费
全面推开营业税改征增值税试点后，纳税人销售取得的不动产向哪里申请代开发票,推开 营业税 改征 增值税 试点 纳税人 销售 不动产 申请 代 开发票
国税机关、地税机关使用新系统代开增值税专用发票和增值税普通发票，分别是几,国税 机关 地税 机关 新 系统 代开 增值税 专用发票 增值税 普通发票
北京市房地产开发企业将开发产品转为自用应如何处理？,北京市 房地产 开发 企业 开发 产品 转为 自用 应
北京市国家税务局关于在朝阳和海淀局试点运行部分涉税事项全区通办的通知,北京市 国家税务局 朝阳 海淀 局 试点 运行 涉税 事项 全区 通办 通知
车辆所有人或管理人向公安机关交通管理部门申请办理车辆相关业务时，有何关于,车辆 所有人 管理 人向 公安机关 交通管理 部门 申请 办理 车辆 相关 业务 时 有何
对公共交通车船及在农村地区使用的摩托车、三轮汽车和低速载货汽车是否有车船,公共交通 车船 农村 地区 摩托车 三轮 汽车 低速 载货 汽车 车船
国家税务总局关于中日税收协定适用于日本新增税种的公告,国家税务总局 中日 税收 协定 日本 新增 税种 公告
国家税务总局关于发布《废弃电器电子产品处理基金征收管理规定》的公告,国家税务总局 发布 废弃 电器 电子产品 基金 征收 管理 公告
若境内机构或个人向境外支付外汇资金，在什么情形下不需要到所在地国税机关进,境内 机构 个人 境外 支付 外汇资金 情形 所在地 国税 机关 进
外贸企业出口消费税应税货物，应退消费税如何计算？,外贸企业 出口 消费税 应税 货物 应 退 消费税 计算
适用增值税免税政策的出口货物劳务，出口企业或其他单位放弃免税的，应如何处,增值税 免税 政策 出口 货物 劳务 出口 企业 单位 放弃 免税 应 处
一般纳税人生产企业出口适用增值税征税政策的货物劳务，其应纳增值税是如何计,纳税人 生产 企业 出口 增值税 征税 政策 货物 劳务 应纳 增值税 计
什么是出口货物？,出口 货物
境外旅客购物离境退税海南试点中，离境退税政策指的是什么？,境外 旅客 购物 离境 退税 海南 试点 中 离境 退税 政策 指
从事文化产业支撑技术等领域的文化企业可以享受哪些企业所得税优惠？,文化产业 支撑 技术 领域 文化 企业 享受 企业 所得税 优惠
军火武器合同印花税优惠办理,军火 武器 合同 印花税 优惠 办理
财政部 国家税务总局关于城市公交站场 道路客运站场 城市轨道交通系统城镇,财政部   国家税务总局 城市公交 站场   道路 客运站 场   城市 轨道交通 系统 城镇
个人以非货币性资产投资，适用分期缴税政策的是否需要备案，需要向主管税务机,个人 以非 货币 性 资产 投资 缴税 政策 备案 主管 税务 机
稀土、钨、钼资源税改革后采取何种计征方法？,稀土 钨 钼 资源税 改革 何种 计征 方法
国家在促进玉树灾区就业方面有什么优惠政策？,国家 玉树 灾区 就业 优惠政策
地勘单位是否缴纳印花税？,地勘 单位 缴纳 印花税
保障性住房的房产税优惠备案,保障性 住房 房产税 优惠 备案
国家税务总局关于环氧大豆油 氢化植物油增值税适用税率问题的公告,国家税务总局 环氧 大豆油   氢化 植物油 增值税 税率 公告
在新疆困难地区新办企业，企业所得税上有什么税收优惠？,新疆 困难 地区 新办 企业 企业 所得税 税收 优惠
我国现行烟叶税由哪个部门征收？,我国 现行 烟叶 税 部门 征收
硅藻土和玉石等资源税税额标准是多少？,硅藻土 玉石 资源税 税额 标准
税务机关从哪年开始试行开具个人所得税完税证明？,税务机关 年 试行 开具 个人所得税 完税 证明
外国驻华使（领）馆及其外交代表（领事官员）购进物品的应退增值税如何计算？,外国 驻华 领 馆 外交代表 领事 官员 购进 物品 应退 增值税 计算
协定是否也适用于协定签订之日后征收的属于增加或代替现行税种的任何相同或实,协定 协定 签订 日后 征收 增加 现行 税种 或实
国家税务总局关于做好税务系统职能转变工作的通知,国家税务总局 做好 税务系统 职能 工作 通知
非居民企业在中国境内从事国际运输业务是否要办理税务登记？应于何时办理？,非 居民 企业 中国 境内 国际 运输 业务 办理 税务 登记 应 办理
房地产开发经营企业土地成本按照什么方法分配至各成本对象？,房地产 开发 经营 企业 土地 成本 方法 分配 成本 对象
如何理解成本分摊的“独立交易”原则和“成本与预期收益相配比”原则？,理解 成本 分摊 独立 交易 原则 成本 预期 收益 相配 原则
非居民企业租金所得来源地应如何确定？,非 居民 企业 租金 所得 来源 地应
国家税务总局关于发布试点物流企业名单（第六批）的公告,国家税务总局 发布 试点 物流 企业名单 第六批 公告
企业将资产用于集资，在企业所得税上是否应当视同销售进行处理?,企业 资产 用于 集资 企业 所得税 视同 销售
对获得公益性捐赠税前扣除资格的公益性社会团体的资格管理有哪些要求？,公益性 捐赠 税前 扣除 资格 公益性 社会 团体 资格 管理
武警部队是否缴纳房产税?,武警部队 缴纳 房产税
高等学校的招待所是否缴纳房产税？,高等学校 招待所 缴纳 房产税
关于CDM项目实施企业的企业所得税优惠政策有哪些？,CDM 项目 实施 企业 企业 所得税 优惠政策
发票验旧,发票 验旧
财政部 国家税务总局关于将电信业纳入营业税改征增值税试点的通知,财政部   国家税务总局 电信业 纳入 营业税 改征 增值税 试点 通知
财政部 国家税务总局关于营业税改征增值税试点有关文化事业建设费征收管理问,财政部   国家税务总局 营业税 改征 增值税 试点 文化 事业 建设费 征收 管理 问
财政部 国家税务总局关于免征部分鲜活肉蛋产品流通环节增值税政策的通知,财政部   国家税务总局 免征 鲜活 肉蛋 产品 流通 环节 增值税 政策 通知
已办理税务登记的单位和个人什么情况下可以向主管税务机关申请代开普通发票？,办理 税务 登记 单位 个人 情况 主管 税务机关 申请 代开 普通发票
财政部 国家税务总局关于个人与用人单位解除劳动关系取得的一次性补偿收入征,财政部   国家税务总局 个人 用人单位 解除 劳动 关系 一次性 补偿 收入 征
增值税一般纳税人选择简易办法计算缴纳增值税,增值税 纳税人 选择 简易 办法 计算 缴纳 增值税
个人购买住房如何缴纳契税？,个人 购买 住房 缴纳 契税
劳务报酬所得如何计算应纳税所得额？,劳务 报酬 所得 计算 应 纳税 所得额
小规模纳税人销售自己使用过的固定资产，如何计算缴纳增值税？能否向税务机关,小规模 纳税人 销售 固定资产 计算 缴纳 增值税 税务机关
符合条件的可作为长期待摊费用进行摊销的固定资产的改建支出所得税上如何确定,符合条件 长期 待摊费用 摊销 固定资产 改建 支出 所得税
企业法律形式发生何种改变会涉及清算，适用一般性税务处理时应向税务机关提供,企业 法律 形式 发生 何种 改变 涉及 清算 一般性 税务 时应 税务机关 提供
农村电网维护费免征增值税,农村 电网 维护费 免征 增值税
其他应当作为长期待摊费用的支出如何确定税法摊销年限?,长期 待摊费用 支出 税法 摊销 年限
在开征地区范围之外的工厂、仓库，是否缴纳房产税？,开征 地区 之外 工厂 仓库 缴纳 房产税
申请税务行政处罚听证主持人回避办税流程,申请 税务 行政处罚 听证 主持人 回避 办税 流程
企业不再符合从事国家重点扶持的公共基础设施项目投资经营所得减免税收优惠规,企业 符合 国家 重点 扶持 公共 基础设施 项目 投资 经营 所得 减免 税收 优惠 规
金融企业无法收回的银行卡透支款项能否确认为资产损失在税前扣除？,金融 企业 收回 银行卡 透支 款项 确认 资产 损失 税前 扣除
电力行业是否缴纳城镇土地使用税？,电力行业 缴纳 城镇 土地 使用税
哪些水生植物初加工可以享受免征企业所得税优惠政策？,水生植物 初加工 享受 免征 企业 所得税 优惠政策
企业所得税法所指的销售货物收入包括哪些内容？,企业 所得税法 所指 销售 货物 收入 包括 内容
如何判定房产税中的“房产”？,判定 房产税 中 房产
在中国境内无住所个人以有价证券形式取得工资薪金是否缴纳个人所得税？,中国 境内 住所 个人 有价证券 形式 工资 薪金 缴纳 个人所得税
融资租赁房产的如何缴纳房产税？,融资 租赁 房产 缴纳 房产税
外籍个人和港澳台居民个人储蓄存款利息所得缴纳个人所得税有什么规定？,外籍 个人 港澳台 居民 个人 储蓄存款 利息 所得 缴纳 个人所得税
转制科研机构是否缴纳房产税和城镇土地使用税,转制 科研机构 缴纳 房产税 城镇 土地 使用税
高级专家延长离休退休期间取得的工资薪金所得，是否免征个人所得税？,高级 专家 延长 离休 退休 期间 工资 薪金 所得 免征 个人所得税
哪些高级专家延长离休退休期间取得的工资、薪金所得免征个人所得税？,高级 专家 延长 离休 退休 期间 工资 薪金 所得 免征 个人所得税
纳税人在境内外同时取得工资薪金所得的，如何判断其所得来源？,纳税人 境内外 工资 薪金 所得 判断 所得 来源
生产销售乙醇汽油的纳税人如何申报纳税？,生产 销售 乙醇汽油 纳税人 申报 纳税
非居民企业汇算清缴应如何补缴或退还税款？,非 居民 企业 汇算 清缴 应 补缴 退还 税款
《钻石交易增值税征收管理办法》中钻石包括哪些种类？,钻石 交易 增值税 征收 管理 办法 中 钻石 包括 种类
财政部　国家税务总局关于航空公司燃油附加费免征营业税的通知,财政部 　 国家税务总局 航空公司 燃油 附加费 免征 营业税 通知
房地产开发企业开发建造的与清算项目配套的幼儿园，是否可以在土地增值税清算,房地产 开发 企业 开发 建造 清算 项目 配套 幼儿园 土地 增值税 清算
房屋大修期间是否缴纳房产税？,房屋 大修 期间 缴纳 房产税
国家税务总局关于企业工资薪金和职工福利费等支出税前扣除问题的公告,国家税务总局 企业 工资 薪金 职工 福利费 支出 税前 扣除 公告
国家税务总局关于进一步加强普通发票管理工作的通知,国家税务总局 进一步 普通发票 管理工作 通知
哪些纳税人可以不办理一般纳税人登记？,纳税人 办理 纳税人 登记
国家税务总局关于贯彻落实企业所得税法若干税收问题的通知,国家税务总局 贯彻落实 企业 所得税法 若干 税收 通知
中华人民共和国车辆购置税暂行条例,中华人民共和国 车辆 购置税 暂行条例
国家税务总局关于印发《增值税一般纳税人资格认定管理办法》宣传材料的通知,国家税务总局 印发 增值税 纳税人 资格 认定 管理 办法 宣传材料 通知
国家税务总局关于印发《石脑油、燃料油退（免）消费税管理操作规程（试行）》,国家税务总局 印发 石脑油 燃料油 退 免 消费税 管理 操作规程 试行
财政部 海关总署 国家税务总局关于调整2015年进口种子种源免税政策执行,财政部   海关总署   国家税务总局 调整 2015 年 进口 种子 种源 免税 政策 执行
北京市国家税务局关于增值税纳税人放弃免税（减税）权管理问题的公告,北京市 国家税务局 增值税 纳税人 放弃 免税 减税 权 管理 公告
财政部 发展改革委 工业和信息化部 环境保护部 农业部 商务部 中国人民,财政部   发展 改革 委   工业 信息化 部   环境保护部   农业部   商务部   中国
全面营改增后，随军家属就业有哪些增值税优惠？,营改 增后 随军 家属 就业 增值税 优惠
什么企业不能享受安置残疾人就业增值税优惠政策？,企业 享受 安置 残疾人 就业 增值税 优惠政策
原汇总缴纳营业税的金融机构营改增后如何缴纳增值税？,原 汇总 缴纳 营业税 金融机构 营改 增后 缴纳 增值税
采取汇总纳税的金融机构，分支机构使用发票是如何规定的？,汇总 纳税 金融机构 分支机构 发票
财政部 教育部 国家发展改革委 科技部 工业和信息化部 民政部 商务部,财政部   教育部   国家 发展 改革 委   科技部   工业 信息化 部   民政部   商务部
财政部 国家税务总局关于供热企业增值税 房产税 城镇土地使用税优惠政策的,财政部   国家税务总局 供热 企业 增值税   房产税   城镇 土地 使用税 优惠政策
房地产开发费用在扣除时是怎么规定的？,房地产 开发 费用 扣除 时
美籍人员在我国大学从事教育讲学工作，取得的报酬是否需要缴纳个人所得税？,美籍 人员 我国 大学 教育 讲学 工作 报酬 缴纳 个人所得税
国家税务总局关于公布符合条件的销售熊猫普制金币纳税人名单（第二批）的公告,国家税务总局 公布 符合条件 销售 熊猫 普制 金币 纳税人 名单 第二批 公告
国家税务总局关于税收协定中财产收益条款有关问题的公告,国家税务总局 税收 协定 中 财产 收益 条款 公告
国家税务总局关于中国海洋石油总公司使用的“成品油配置计划表”有关印花税问,国家税务总局 中国海洋石油总公司 成品油 配置 计划表 印花税 问
企业政策性搬迁中的资产应如何处理？,企业 政策性 搬迁 中 资产 应
出口企业或其他单位需变更退（免）税办法的，应如何办理？,出口 企业 单位 需 变更 退 免 税 办法 应 办理
什么是出口企业？,出口 企业
非居民企业间接转让中国财产，何种情况下应直接认定为不具有合理商业目的？,非 居民 企业 间接 转让 中国 财产 何种 情况 下应 认定 商业 目的
交易一方在股权或资产划转完成日后连续12个月内发生生产经营业务、公司性质,交易 一方 股权 资产 划转 日后 连续 12 月 发生 生产 经营 业务 公司 性质
退税代理机构设置标识的要求是什么？,退税 代理 机构 设置 标识
对税务机关出具减免税证明的车辆，保险机构是否应收代缴车船税？,税务机关 出具 减免税 证明 车辆 保险机构 应收 代缴 车船税
中国邮政集团公司邮政速递物流业务重组改制是否缴纳土地增值税？,中国邮政 集团公司 邮政 速递 物流 业务 重组 改制 缴纳 土地 增值税
国家税务总局关于中国移动通信集团广东有限公司及其关联机构向第16届亚洲运,国家税务总局 中国移动通信集团 广东 有限公司 关联 机构 16 届 亚洲 运
出口货物可以退（免）税的税种有哪些？,出口 货物 退 免 税 税种
放弃免税权的纳税人可否开具增值税专用发票？,放弃 免税 权 纳税人 可否 开具 增值税 专用发票
对于资源税的减免税有什么规定？,资源税 减免税
以电子形式签订的各类应税凭证如何征收印花税？,电子 形式 签订 各类 应税 凭证 征收 印花税
萤石资源税适用税额是多少？,萤石 资源税 税额
城市维护建设税的扣缴义务人有什么规定？,城市 维护 建设 税 扣缴 义务人
个人投资者证券交易的利息所得，是否缴纳个人所得税？,个人 投资者 证券交易 利息 所得 缴纳 个人所得税
中国与新加坡之间税收协定的税种是否只包括所得税？,中国 新加坡 之间 税收 协定 税种 包括 所得税
房地产开发企业应如何对已完工开发产品的成本对象进行管理？,房地产 开发 企业 应 完工 开发 产品 成本 对象 管理
供电企业收取的电费保证金，超过合同约定时间未退还的，是否缴纳增值税？,供电 企业 收取 电费 保证金 超过 合同 约定 时间 未 退还 缴纳 增值税
车辆购置税实行的是哪种纳税申报制度？,车辆 购置税 实行 哪种 纳税 申报 制度
房地产开发经营企业借款费用按照什么方法分配至各成本对象？,房地产 开发 经营 企业 借款 费用 方法 分配 成本 对象
国家税务总局关于肉桂油、桉油、香茅油增值税适用税率问题的公告,国家税务总局 肉桂 油 桉油 香茅油 增值税 税率 公告
工效挂钩企业的工资储备基金余额，企业所得税上应当如何处理？,工效 挂钩 企业 工资 储备基金 余额 企业 所得税
财产租赁计税时，纳税人缴纳的税金和发生的修缮费用是否允许扣除？,财产 租赁 计税 时 纳税人 缴纳 税金 发生 修缮 费用 扣除
非居民企业免税收入是什么？,非 居民 企业 免税 收入
税务机关对上年度实行核定征收方式的企业所得税纳税人进行重新鉴定的时限是如,税务机关 年度 实行 核定 征收 方式 企业 所得税 纳税人 鉴定 时限
什么是全市通办？,全市 通办
北京市国家税务局关于公布生活服务业、建筑业试点纳税人采取“成本法”抵扣农,北京市 国家税务局 公布 生活 服务业 建筑业 试点 纳税人 成本法 抵扣 农
中移铁通有限公司所属分支机构的增值税预征率是多少？,中移 铁通 有限公司 所属 分支机构 增值税 预征 率
国家税务总局关于进一步加强出口退（免）税事中事后管理有关问题的公告,国家税务总局 进一步 出口 退 免 税事 中 事后 管理 公告
哪些纳税人需要进行个人所得税自行申报？,纳税人 个人所得税 自行 申报
发票丢失如何处理？,发票 丢失
国家税务总局关于简并增值税征收率有关问题的公告,国家税务总局 简并 增值税 征收率 公告
个人与用人单位解除劳动关系取得的一次性补偿收入，缴纳个人所得税吗？,个人 用人单位 解除 劳动 关系 一次性 补偿 收入 缴纳 个人所得税
国家税务总局关于调整增值税一般纳税人留抵税额申报口径的公告,国家税务总局 调整 增值税 纳税人 留抵 税额 申报 口径 公告
北京市国家税务局 北京市地方税务局关于废止《北京市国家税务局 北京市地方,北京市 国家税务局   北京市 地方税务局 废止 北京市 国家税务局   北京市 地方
投资方取得的股息、红利等权益性投资收益是否需要缴纳企业所得税？,投资方 股息 红利 权益 性 投资收益 缴纳 企业 所得税
有偿取得土地使用权城镇土地使用税的纳税义务发生时间？,有偿 土地 使用权 城镇 土地 使用税 纳税 义务 发生 时间
个人所得税财产租赁所得的征收范围包括什么？,个人所得税 财产 租赁 所得 征收 包括
住房公积金在个人所得税税前扣除的具体规定是什么？,住房 公积金 个人所得税 税前 扣除
促进残疾人就业税收优惠政策中“残疾人”的具体范围是什么？,残疾人 就业 税收 优惠政策 中 残疾人
对由亚洲开发银行支付给我国公民或国民的薪金和津贴是否征收个人所得税？,亚洲开发银行 支付 我国 公民 国民 薪金 津贴 征收 个人所得税
企业所得税法对生产性生物资产是如何界定的?,企业 所得税法 生产性 生物 资产 界定
土地评估价格的管理有什么规定？,土地 评估 价格 管理
个人转让住宅土地增值税征免有什么规定？,个人 转让 住宅 土地 增值税 征免
生产、加工润滑脂是否征收消费税？,生产 加工 润滑脂 征收 消费税
非居民企业汇算清缴可以委托中介机构代理吗？,非 居民 企业 汇算 清缴 委托 中介机构 代理
房产税的纳税期限是什么？,房产税 纳税 期限
在广告设计、制作、发布过程中提供名义、形象及劳务并取得所得的个人，是个人,广告设计 制作 发布 过程 中 提供 名义 形象 劳务 所得 个人 个人
国家税务总局关于印发《特别纳税调整实施办法(试行)》的通知,国家税务总局 印发 特别 纳税 调整 实施办法 试行 通知
国家税务总局关于企业处置资产所得税处理问题的通知,国家税务总局 企业 处置 资产 所得税 通知
中华人民共和国土地增值税暂行条例,中华人民共和国 土地 增值税 暂行条例
技术转让、技术开发免征增值税,技术转让 技术开发 免征 增值税
2013年版印花税票启用后旧版印花税票是否还可以继续使用？,2013 年版 印花税 票 启用 旧版 印花税 票
线宽小于0.25微米的集成电路生产企业减按15%税率征收企业所得税,线宽 小于 0.25 微米 集成电路 生产 企业 减按 15% 税率 征收 企业 所得税
国家税务总局关于加强网上办税系统技术管理工作的通知,国家税务总局 网上 办税 系统 技术 管理工作 通知
饮水工程运营管理单位为建设饮水工程取得土地使用权而签订的产权转移书据，以,饮水 工程 运营 管理 单位 建设 饮水 工程 土地 使用权 签订 产权 转移 书据
北京市人民政府办公厅关于加快推进中关村生物医药医疗器械及相关产业发展的若,北京市人民政府 办公厅 加快 推进 中关村 生物医药 医疗器械 相关 产业 发展
在执行税收协定股息条款时，协定税率高于我国法律法规规定税率的，应按什么税,执行 税收 协定 股息 条款 时 协定 税率 高于 我国 法律法规 税率 应 税
在执行税收协定股息条款时，限制税率是怎么规定的？,执行 税收 协定 股息 条款 时 税率
财政部 国家税务总局关于印发《京津冀协同发展产业转移对接企业税收收入分享,财政部   国家税务总局 印发 京津冀 协同 发展 产业 转移 对接 企业 税收收入 分享
国家税务总局关于发布出口退税率文库2016C版的通知,国家税务总局 发布 出口 退税率 文库 2016C 版 通知
全面营改增后，纳税人出租不动产开具发票有何要求？,营改 增后 纳税人 出租 不动产 开具 发票 有何
北京市国家税务局转发国家税务总局关于《会计师事务所、资产评估机构、税务师,北京市 国家税务局 转发 国家税务总局 会计师 事务所 资产 评估 机构 税务师
财政部 海关总署 国家税务总局关于中资“方便旗”船回国登记进口税收政策问,财政部   海关总署   国家税务总局 中资 旗 船 回国 登记 进口 税收政策 问
国家税务总局关于北京等8省市营业税改征增值税试点增值税纳税申报有关事项的,国家税务总局 北京 省市 营业税 改征 增值税 试点 增值税 纳税 申报 事项
如何理解文件中所陈述的“出口货物报关单上的出口日期早于申报退税匹配的进货,理解 文件 中 陈述 出口 货物 报关单 出口 日期 早 申报 退税 匹配 进货
国家税务总局关于进一步规范税务机关进户执法工作的通知,国家税务总局 进一步 规范 税务机关 进户 执法 工作 通知
证券结算公司如何计算限售股个人所得税？,证券 结算 公司 计算 限售 股 个人所得税
卷烟出口企业如何申请开具《准予免税购进出口卷烟证明》？,卷烟 出口 企业 申请 开具 准予 免税 购进 出口 卷烟 证明
境外旅客购物离境退税海南试点中，起退点是怎样规定的？,境外 旅客 购物 离境 退税 海南 试点 中 退点
国家税务总局关于启用新版增值税专用发票有关问题的通知,国家税务总局 启用 新版 增值税 专用发票 通知
稀土、钨、钼资源税从价计征改革后，原矿销售额与精矿销售额如何换算？,稀土 钨 钼 资源税 从价 计征 改革 原矿 销售额 精矿 销售额 换算
属于“母亲健康快车”项目的免征车辆购置税的流动医疗车辆因转让、改变用途等,母亲 健康 快车 项目 免征 车辆 购置税 流动 医疗 车辆 转让 改变 用途
国家税务总局关于《中华人民共和国政府和根西岛政府关于税收情报交换的协定》,国家税务总局 中华人民共和国政府 根 西岛 政府 税收 情报 交换 协定
税收协定教师和研究人员条款规定的停留期或免税期如何计算？,税收 协定 教师 研究 人员 条款 停留 期 免税 期 计算
军队、军工系统部分货物免征增值税,军队 军工 系统 货物 免征 增值税
金融企业的逾期贷款，逾期后发生的应收利息，企业所得税上何时确认收入的实现,金融 企业 逾期 贷款 逾期 发生 应收 利息 企业 所得税 确认 收入
个人向中国教育发展基金会捐赠的个人所得税税前扣除规定是什么？,个人 中国 教育 发展 基金会 捐赠 个人所得税 税前 扣除
国家税务总局关于中澳税收协定适用于澳大利亚新增税种的公告,国家税务总局 中澳 税收 协定 澳大利亚 新增 税种 公告
居民企业电网新建项目享受企业所得税优惠政策的具体计算方法？,居民 企业 电网 新建 项目 享受 企业 所得税 优惠政策 计算方法
车辆购置税可否分期缴纳？,车辆 购置税 可否 缴纳
什么是税收协定意义上的专有技术？,税收 协定 意义 专有 技术
外国企业常驻代表机构逾期未申报是否加收滞纳金？,外国 企业 常驻 代表 机构 逾期 未 申报 加收 滞纳金
税务机关如何确定企业所得税纳税人的预缴方法？,税务机关 企业 所得税 纳税人 预缴 方法
转让定价跟踪管理年度为几年？,转让 定价 跟踪 管理 年度 几年
企业发生的支出在企业所得税税前扣除的总体规定是哪些？,企业 发生 支出 企业 所得税 税前 扣除 总体
投资资产的成本如何确认？,投资 资产 成本 确认
境内机构和个人向非居民发包工程作业或劳务项目的，应自项目合同签订之日起报,境内 机构 个人 非 居民 发包 工程 作业 劳务 项目 应自 项目 合同 签订 之日起 报
落实私房政策已归还产权，但房主尚未能收回房屋用地，如何缴纳城镇土地使用税,落实 私房 政策 归还 产权 房主 尚未 收回 房屋 用地 缴纳 城镇 土地 使用税
国家税务总局关于部分地区开展住宿业增值税小规模纳税人自开增值税专用发票试,国家税务总局 地区 住宿 业 增值税 小规模 纳税人 自开 增值税 专用发票 试
全国人民大表大会常务委员会关于修改《中华人民共和国个人所得税法》的决定,全国 大表 大会 常务委员会 修改 中华人民共和国 个人所得税法
企业所得税收入的确认原则是什么？,企业 所得税 收入 确认 原则
印花税申报,印花税 申报
营业税改征增值税税率有哪些？,营业税 改征 增值税 税率
国家税务总局关于企业所得税有关问题的公告,国家税务总局 企业 所得税 公告
国家税务总局关于推行通过增值税电子发票系统开具的增值税电子普通发票有关问,国家税务总局 推行 增值税 电子 发票 系统 开具 增值税 电子 普通发票 问
商品销售涉及商业折扣的，如何确认企业所得税的销售收入？,商品销售 涉及 商业 折扣 确认 企业 所得税 销售收入
企业关闭撤销后，其占地未作他用的是否缴纳城镇土地使用税？,企业 关闭 撤销 占地 未作 缴纳 城镇 土地 使用税
两个或者两个以上的个人共同取得同一项目收入，如何计算个人所得税应纳税额？,两个 两个 个人 项目 收入 计算 个人所得税 应纳税额
什么是税收协定意义上的财产转让收益？缔约国双方对财产转让收益征税权是如何,税收 协定 意义 财产 转让 收益 缔约国 财产 转让 收益 征税 权是
企业所得税收入全额归属中央企业的财产损失应如何申报扣除？,企业 所得税 收入 全额 归属 中央 企业 财产损失 应 申报 扣除
企业固定资产投入使用后，由于工程款项尚未结清未取得全额发票的，其固定资产,企业 固定资产 投入使用 工程 款项 尚未 结清 未 全额 发票 固定资产
在中国境内无住所人员取得的工资薪金所得，税纳税义务如何判定？,中国 境内 住所 人员 工资 薪金 所得 税 纳税 义务 判定
外商投资企业对境外企业支付其雇员工资薪金是否负有代扣代缴义务？,外商投资 企业 境外 企业 支付 雇员 工资 薪金 负有 代扣代缴 义务
非营利性科研机构是否缴纳房产税和城镇土地使用税？,非营利性 科研机构 缴纳 房产税 城镇 土地 使用税
油气田企业提供的应税劳务和非应税劳务是否应当分别核算？,油气田 企业 提供 应税 劳务 非 应税 劳务 核算
企业委托外部机构或个人进行研发活动所发生的费用，是否允许加计扣除？,企业 委托 外部 机构 个人 研发 活动 发生 费用 加计 扣除
土地增值税的纳税地点是哪里？,土地 增值税 纳税 地点
耕地占用税的纳税期限是如何规定的？,耕地 占用 税 纳税 期限
建筑安装业跨省异地工程作业人员个人所得税怎样征收？,建筑安装 业 跨省 异地 工程 作业 人员 个人所得税 征收
财政部 国家税务总局 发展改革委 工业和信息化部关于软件和集成电路产业企,财政部   国家税务总局   发展 改革 委   工业 信息化 部 关于软件 集成电路 产业 企
国家税务总局关于个体工商户、个人独资企业和合伙企业个人所得税问题的公告,国家税务总局 个体 工商户 个人独资 企业 合伙 企业 个人所得税 公告
国家税务总局关于《出口货物劳务增值税和消费税管理办法》有关问题的公告,国家税务总局 出口 货物 劳务 增值税 消费税 管理 办法 公告
非居民合同项目备案,非 居民 合同 项目 备案
纳税人在异地转让不动产和租赁不动产，是否需要填报《跨区域涉税事项报告表》,纳税人 异地 转让 不动产 租赁 不动产 填报 跨 区域 涉税 事项 报告 表
国家税务总局关于在全国开展营业税改征增值税试点有关征收管理问题的公告,国家税务总局 全国 营业税 改征 增值税 试点 征收 管理 公告
国家税务总局关于执行软件企业所得税优惠政策有关问题的公告,国家税务总局 执行 软件 企业 所得税 优惠政策 公告
普通发票核定,普通发票 核定
财政部 国家税务总局关于扩大有关政府性基金免征范围的通知,财政部   国家税务总局 政府 性 基金 免征 通知
国务院关于废止《中华人民共和国营业税暂行条例》和修改《中华人民共和国增值,国务院 废止 中华人民共和国 营业税 暂行条例 修改 中华人民共和国 增值
"增值税纳税人年应税销售额超过财政部、国家税务总局规定的小规模纳税人标准,",增值税 纳税人 年 应税 销售额 超过 财政部 国家税务总局 小规模 纳税人 标准
